"","Rho","N","P","p.adj","PermPval","Carnivora","Cetacean","Combination","ratio"
"AC010255",0.286241519524029,46,0.0199886256722352,0.149602725713908,0.00223343216912473,"0.3214","2.466","1.172","0.4754"
"CEP19",0.262094140117595,57,0.0172500448974509,0.137509066968639,0.00225693451075382,"0.2975","0.6526","2.877","4.408"
"TMEM216",0.296899945329011,54,0.00871423913739365,0.0932131247059109,0.00245559235285263,"0.3573","4.804","2.095","0.4362"
"MARCHF4",0.211884365704193,91,0.0143469333621397,0.123778436019013,0.00246036300180007,"0.2198","1.277","1.008","0.7891"
"COPZ2",0.288123966938208,57,0.00884892851075903,0.0939830210221366,0.00288715992163843,"0.2895","76.96","3.987","0.05181"
"SLC14A2",-0.302057203309169,118,6.75663427283292e-05,0.00430872005160316,0.00306923469359767,"0.7657","1.915","231.1","120.7"
"DZIP1",0.328049305677967,110,2.97026382165317e-05,0.00245034838613415,0.00318584158489426,"4.032","0.7195","454","112.6"
"FXYD6",0.218524513786323,68,0.0296474422448366,0.185994040771491,0.00337182856507947,"0.292","0.3563","1.697","4.763"
"FNDC11",0.391756938147893,98,2.58158770135425e-06,0.000522806395844524,0.00360226566277544,"0.2144","28744223568","53512","0.000001862"
"RAB3B",0.337936748384314,42,0.00881444631995477,0.0938162589139504,0.00363388450510342,"0.7593","0.3381","3.119","4.108"
"SAV1",-0.462310289713204,42,0.000339512587548287,0.0127837578819061,0.00369168558392266,"26.44","0.4089","210.5","7.962"
"RASL11B",0.268024087971236,54,0.0178868479864486,0.140048225666102,0.00385104375999672,"0.3691","1.36","3.617","2.659"
"ZHX2",0.25515379354568,97,0.00231766105517712,0.0420999619065265,0.00387843000306888,"0.5275","1.105","27.83","25.17"
"PHLDB1",0.212276891739061,111,0.00663667271441858,0.0798211695812815,0.00390904123408011,"0.3653","0.3902","8.775","22.49"
"SLC8A3",0.321375941281139,94,0.00015953050134752,0.00776209121166861,0.00395178507327334,"0.2817","41.35","52.84","1.278"
"CADPS2",0.317122014778529,100,0.000120410672339607,0.00631169240067666,0.00401620354313777,"0.9639","1.841","134.1","72.84"
"CD84",0.210801756689773,112,0.00676868758747304,0.0804405647786447,0.00402108072961227,"0.8822","0.2032","2.939","3.332"
"ADARB2",-0.232886115586276,94,0.00621711069527367,0.0764198074140499,0.00404030477001657,"0.2333","2.498","8.669","3.47"
"SORCS1",0.239623107181709,102,0.00333486817638223,0.0523860948545746,0.0041596853087372,"2.17","0.2852","9.298","4.285"
"CMTR1",-0.224340089756499,65,0.0291568475628591,0.183823278135965,0.00417484601199457,"0.2876","0.7646","1.288","1.684"
"APCDD1",-0.285776460669985,91,0.000958860999686254,0.024732342411873,0.004233923246467,"2.571","0.5643","98.76","38.41"
"PROKR1",0.228824857796088,88,0.00934167291935429,0.0968148757741655,0.00427580940375035,"0.3457","1.088","4.651","4.276"
"SPIRE1",-0.179326110991346,101,0.0288525930110778,0.182761197805501,0.00433493573392182,"0.3691","0.4275","2.361","5.522"
"TNFRSF11B",0.293120144845279,98,0.000435120804263638,0.0146533042083031,0.00435308343409915,"0.3987","1.64","48.78","29.74"
"DNAH11",0.238842344345449,137,0.000676404875171482,0.0196827251637278,0.00436378550189685,"1.764","0.6547","58.89","33.38"
"BGLAP",0.172848324290045,81,0.0598526323718544,0.271638869995339,0.00438890332107357,"0.557","0.2558","0.5864","1.053"
"PIGM",0.406023639493257,90,3.07958914968514e-06,0.000570439183401885,0.00438985662915052,"1060","0.2372","6626","6.253"
"FZD1",0.235479403452934,65,0.0220403436191368,0.158007683721206,0.00440287043470945,"0.3311","0.3504","0.9664","2.758"
"IQGAP2",-0.187719958852643,123,0.011433322857423,0.108925477648659,0.00445810023478941,"0.2813","0.6555","3","4.576"
"FBXO24",0.237595399192567,102,0.0036117445902354,0.0552302086012936,0.00448575621871825,"0.2382","17.87","16.41","0.9183"
"UBR7",0.271518772811243,93,0.00151074312892826,0.0327167579915012,0.00448618061319804,"0.2459","1.165","2.975","2.554"
"PDGFD",0.365209363551468,77,0.000106934971954589,0.00574382612799811,0.00453111740877724,"7211","0.3726","327.9","0.04548"
"ANKRD35",0.48907584595642,113,2.7673169376921e-10,1.03677529070635e-06,0.00457327932146402,"236.4","17.77","54778808","231745"
"ATP1B2",0.273686007899945,44,0.0297453815031917,0.186256085221101,0.00460337532221195,"0.6024","0.2997","1.752","2.909"
"PRODH",-0.207088392075007,110,0.00838836066548282,0.0914954902957204,0.00463987024432131,"0.4217","0.424","3.158","7.448"
"SLC26A3",-0.255208483653512,107,0.00135945679989927,0.0304982329390575,0.00465645455645275,"0.672","0.858","25.74","30.01"
"CYP20A1",0.153014093120531,96,0.0691955347126103,0.292762361152789,0.00467476444545351,"0.3306","0.2221","0.5603","1.695"
"COMT",-0.279273743875897,95,0.000970731533662731,0.0249526290968605,0.00476449053232672,"0.5025","3.685","23.05","6.254"
"RNF144B",0.22144294073564,73,0.0222717968289269,0.158407758556383,0.0047654890044206,"0.4487","0.2574","0.7609","1.696"
"RASGEF1B",0.341884091737594,67,0.000733880646458771,0.0208485514791683,0.00477136299435028,"70.48","0.2547","51.09","0.7249"
"ARHGEF6",0.3053335833444,88,0.000523614254020374,0.0165197541278933,0.00493908462298321,"37.92","0.2325","221.4","5.837"
"OSBP2",-0.360784269690626,100,1.21589161749174e-05,0.00135980237162174,0.00496176494351477,"1.694","3.568","831.9","233.1"
"OPLAH",0.29192727458942,106,0.000265838407961302,0.0108431499369968,0.004988081698351,"0.3488","6.598","65.95","9.995"
"NAGPA",-0.293615293139606,109,0.000199154234951017,0.00888251596719031,0.00504790929876567,"0.9441","4.479","108.1","24.14"
"TPPP2",0.244714337999197,78,0.00896806112949142,0.0945780183578877,0.00511568263669104,"0.2623","3.738","3.419","0.9147"
"OR6B1",0.228218435630812,99,0.00590281429873835,0.073995148417594,0.00517509527086637,"0.2857","2.251","0.509","0.2262"
"RXFP3",0.245802902514564,88,0.00523592340899885,0.0693418696649005,0.00518739107164912,"0.9308","2.217","19.78","8.921"
"SPRN",-0.312660360994265,69,0.00171808060098929,0.0357611631555683,0.00528342245989305,"1.452","1.267","32.6","22.46"
"CYP11A1",-0.256408896140036,117,0.00075742099727022,0.0213304617969422,0.00543108723736996,"0.3256","15.56","40.62","2.611"
"DNAI2",0.202355226362677,115,0.00842098173138653,0.0915217747472805,0.00550405298447038,"0.4044","0.6424","5.123","7.974"
"SPEGNB",-0.530720961773851,71,6.65022024419149e-08,3.83308463767129e-05,0.00550624198984193,"22.55","11.51","803414","35632"
"CCNE2",0.161046878463563,72,0.0988279728393088,0.351885578946618,0.0055264861968099,"0.255","0.4058","0.7183","1.77"
"PCDH11X",0.452340642929788,99,4.84660247958648e-08,3.47715487663728e-05,0.00556064864214972,"21.59","0.2755","1787","82.77"
"FGFR2",0.234611114413338,69,0.0186491669109328,0.143615835214408,0.00559079776769583,"0.803","0.2541","3.257","4.055"
"TM4SF4",-0.257756843062384,88,0.00341218697940313,0.0530997238560076,0.00563185567944883,"1.472","0.345","6.91","4.693"
"MYO5C",0.281321115599249,124,0.000141294572060174,0.00710550488890524,0.00577334410195877,"0.4913","71.21","407.5","5.723"
