"","Rho","N","P","p.adj","PermPval","Bat","Cetacean","Combination","ratio"
"RNF19B",-0.1871950309179,154,0.00470299315798668,0.0320107598954074,9.9507438181004e-05,"0.8683","2.377","15.64","6.58"
"CMBL",-0.321858232094801,162,6.1515525450081e-07,3.77149431493789e-05,0.000101776600362205,"52486","0.2176","24877","0.474"
"CRYGB",0.198450642633716,108,0.0123290378400514,0.0632337383065713,0.000102557605702203,"1.654","0.4337","6.034","3.648"
"GADD45GIP1",-0.204506677509135,147,0.00255980639871389,0.0204401307346405,0.000103184141204462,"1.22","2.279","15.62","6.856"
"NEUROG1",-0.239763373262745,128,0.000979310048830085,0.00994979009611366,0.000103252765807543,"16.73","0.2535","34.57","2.066"
"DECR2",-0.235439060145756,162,0.000264756831906998,0.00375255874594844,0.000103672443864421,"15.03","0.4222","90.83","6.044"
"CHRDL2",-0.235981434771192,182,0.000105453675298184,0.00187384230874704,0.000103768632573584,"546.1","0.1643","192.1","0.3518"
"HACD3",-0.222953564653947,132,0.00184846701866325,0.016137026313502,0.000104007659858244,"2.918","0.7424","20.31","6.963"
"GMFG",-0.244434915003884,54,0.0308078786043336,0.120623360270748,0.000104013068936191,"0.437","0.5629","0.7668","1.362"
"LINGO2",0.288973750927094,123,9.88612823906306e-05,0.00179441249171652,0.000104082800929398,"292.6","0.304","1319","4.509"
"CERS5",-0.3208861103571,125,1.30716508396755e-05,0.000402930724255976,0.000104765925190967,"87.1","0.5799","941.4","10.81"
"CC2D1A",-0.252725662624022,207,9.34411158220207e-06,0.000310216750079663,0.000104877416807531,"1688","0.1896","1714","1.015"
"CAB39L",0.219219391558145,110,0.00526364437391457,0.0344212657422889,0.000104879681412544,"1.638","0.2652","2.784","1.7"
"ECSIT",-0.251042173577076,198,1.6729756724743e-05,0.000489101210953468,0.000105085196277511,"686.8","0.1902","713","1.038"
"EBI3",-0.254119572164719,186,2.4227943312164e-05,0.000657435310109405,0.00010508941873188,"1.712","1.741","46.43","26.67"
"PLAC9",-0.206348277682392,142,0.00278594100459033,0.021725452220007,0.000105121910497969,"3.179","0.4526","17.49","5.501"
"RAVER2",-0.212341087799108,189,0.00037594699268012,0.00482533114490875,0.000105130036579069,"4.049","0.9239","75.29","18.59"
"RPUSD1",-0.273324517263973,163,2.1597851878521e-05,0.000602105968223159,0.00010530325789697,"9.714","11.71","1430","122.1"
