"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"1","As_1_Mm_2490",0.664962136357495,0.0252248405728868,0.343213840132721,9.42044869018631,2.01957817403839,4.79736601335638,4.78509998219257,0.00500617472420775,""
"2","As_5_Mm_2490",0.694298458093577,0.0314091943687258,0.368914165271281,8.26617022583279,1.87888469950792,5.7190083750108,5.69314415555556,0.00962256228845521,""
"3","Glu_1_Mm_2490",0.918168375125476,0.0320745191630899,0.307410675201963,10.7958546191692,2.25479216069696,5.60964300779622,5.59044015843319,0.00890443171978035,""
"4","Glu_5_Mm_2490",0.23565655463309,0.0354858962981059,0.303780046464374,5.69502501677619,2.28174032043028,2.44867482808818,2.44331848154806,0.00692851336868937,""
"5","Ser_1_Mm_2490",0.212482353775799,0.0337743602834986,0.283454823751866,5.87766045865501,2.44535327141485,2.16371379950254,2.1601115594741,0.00576527687282635,""
"6","Ser_5_Mm_2490",0.212114887621621,0.035622191611417,0.287437411100058,5.56751010069587,2.41147169363649,2.21485171224194,2.21222592375937,0.00554815476634588,""
"7","Thr_1_Mm_2490",0.361397202520084,0.051270454159483,0.285633360542638,6.30131729791104,2.42670246655756,3.55975638749854,3.54798499479243,0.012279731751275,""
"8","Thr_5_Mm_2490",0.285442513756738,0.0418979480218428,0.236356244308872,7.446653672799,2.9326374794403,2.52734132251438,2.52441952777778,0.00668351596788683,""
"9","As_1_Mm_2491",0.555037147238477,0.0293218369476557,0.371306433840111,7.77370667787016,1.8667793428498,4.82071255939544,4.80429395089264,0.00716185850843542,""
"10","As_5_Mm_2491",0.825982041237274,0.0284383273273725,0.398851281042386,8.35850106587463,1.73785872957064,6.73266982942253,6.69518239479243,0.0111937758265257,""
"11","Glu_1_Mm_2491",0.8300119461032,0.0321365901513762,0.34696428741539,9.25731334644372,1.99774791153102,6.10488809628326,6.08369675907771,0.00805901559386722,""
"12","Glu_5_Mm_2491",0.245157829198276,0.0329247156411831,0.328708991441726,5.66903157595676,2.10869552889254,2.56909643854648,2.56155697122972,0.00721116510224716,""
"13","Ser_1_Mm_2491",0.971010251542138,0.037318280319586,0.333404140303232,9.65693854326127,2.07899991862586,6.81542590671188,6.77058995982208,0.0165897549526447,""
"14","Ser_5_Mm_2491",1.02941759608934,0.0381347510998499,0.320669534112418,10.1595991884895,2.16156231516819,6.80241414870453,6.7667400384925,0.0147538879275927,""
"15","Thr_1_Mm_2491",0.64521751683785,0.0523311716533352,0.252320037435188,9.62036362521443,2.74709526681166,4.63870005437133,4.61738894960361,0.0143803219872115,""
"16","Thr_5_Mm_2491",0.5736770909163,0.0387333988715113,0.246482237677921,10.6517178267808,2.81215874656932,3.68742220461229,3.67070685744069,0.0101186467792013,""
"17","As_1_Mm_2492",0.572291400109552,0.0295746085483696,0.392944117010541,7.4047970729939,1.7639841151798,5.16916387371427,5.14048155932583,0.0107809179013671,""
"18","As_5_Mm_2492",0.851443900766794,0.0307889270277348,0.391246048332775,8.39100527820649,1.7716400804907,6.91505835483288,6.8787615759925,0.0113537556961821,""
"19","Glu_1_Mm_2492",0.877993700663064,0.0329927591382097,0.360072803839759,9.00664973768543,1.92501953262878,6.6461590718058,6.61429025292604,0.0106502288520564,""
"20","Glu_5_Mm_2492",0.2811097304414,0.0319711665221199,0.339810138916811,6.04212334394932,2.03980723697486,2.8637902993513,2.85456499077403,0.00720680766281787,""
"21","Ser_1_Mm_2492",0.234936631383831,0.0285778351189942,0.318328850014712,6.21051143044521,2.17745636478727,2.34946653104862,2.3380646530259,0.00876056471225942,""
"22","Ser_5_Mm_2492",0.181828580185346,0.0210285087397961,0.358471798028215,5.67487522348015,1.93361704985615,1.91667631855094,1.91169991656681,0.00445008153262565,""
"23","Thr_1_Mm_2492",0.337020179034156,0.0402680426085213,0.296146361392006,6.74443223444573,2.34055612671342,3.20522556139423,3.19052753507021,0.011723940534858,""
"24","Thr_5_Mm_2492",0.304272725093019,0.0368556436765763,0.292223442816162,6.78179944625357,2.37197664184664,2.8822181518154,2.86824944404806,0.0113172877477727,""
"25","As_1_Mm_2493",0.532270761491751,0.0243476204115705,0.360793791647984,8.42003407205856,1.92117269367048,4.31046637603076,4.29168593437424,0.00699042961578451,""
"26","As_5_Mm_2493",0.946167776063634,0.0315937978349621,0.415278805931416,8.10418803207396,1.66911282410694,7.93688686325505,7.90013587678528,0.011709998532644,""
"27","Glu_1_Mm_2493",0.992549711164569,0.00676610678651006,0.456846459436013,10.904125240333,1.51724319241885,5.70339373681066,5.79893934330368,0.0254357639773263,""
"28","Glu_5_Mm_2493",0.107096350941775,0.0213235116726162,0.367067439283202,3.79192472677203,1.88833741808726,1.29914606206413,1.29830577475188,0.00387969015433449,""
"29","Ser_1_Mm_2493",0.953777309554658,0.0359033497988352,0.324053863076279,10.0021319029587,2.13898755589525,6.4243839223063,6.37773737762951,0.0168737174223801,""
"30","Ser_5_Mm_2493",1.03910901587476,0.0332148637852294,0.256114051853271,13.3168587343269,2.70640043193355,4.66374200946407,4.6343485104666,0.0122780903351835,""
"31","Thr_1_Mm_2493",0.00598967193307704,0.00121471899698575,1.03581846064299,1.32153596188648,0.66917824589617,0.0896147051945328,0.0898017187999305,0.000748974834292592,""
