"","X.1","X","FaName","Zoonomia","Common.Name.or.Group","scientific","phenotype","Binomial","BinomialPretty","PantheriaMaturity","pantheriaMaxAge","pantheriaBodysize","lifeHistoriesMaturity","lifeHistoryMaxAge","lifeHistoryBodysize","anAgeMaturity","anAgeMaxAge","anAgeBodysize","combinedMaturity","combinedBodysize","MaximumAge","MaturityPercentage","elifeLongevity","L3","ELL"
"1",1,1,"hg38","REFERENCE","Human","homo_sapiens","Generalist","homo_sapiens","Homo sapiens",5582.93,NA,58540.63,NA,NA,NA,4745,44712.5,62035,4745,62035,44712.5,0.106122448979592,NA,NA,NA
"2",2,2,"panTro5","vs_panTro6","Chimp","pan_troglodytes","Omnivore","pan_troglodytes","Pan troglodytes",3897.96,NA,45000,3956.1,21780,37618.18,3376,24820,44983.5,3376,44983.5,24820,0.136019339242546,NA,NA,NA
"3",3,3,"panPan2","vs_panPan3","Bonobo","pan_paniscus","Omnivore","pan_paniscus","Pan paniscus",5465.72,NA,35119.95,3240,NA,32733.33,3194,20075,39925,3194,39925,20075,0.159103362391034,NA,NA,NA
"4",4,4,"gorGor5","vs_gorGor6","Gorilla","gorilla_gorilla_gorilla","Herbivore","gorilla_gorilla","Gorilla gorilla",3353.12,NA,112588.99,2679.9,14160,101386.11,2829,21936.5,139842,2829,139842,21936.5,0.128963143619082,NA,NA,NA
"5",5,5,"ponAbe2","vs_ponAbe3","Orangutan","pongo_abelii","Omnivore","pongo_abelii","Pongo abelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21535,1.487155861,0.357947046
"6",6,6,"nomLeu3","vs_HLnomLeu4","Gibbon","nomascus_leucogenys","Herbivore","nomascus_leucogenys","Nomascus leucogenys",NA,NA,NA,NA,NA,NA,3069,16096.5,6000,3069,6000,16096.5,0.190662566396422,16096.5,0.788032691,0.582251175
"7",7,7,"rheMac8","vs_rheMac10","Rhesus Macaca","macaca_mulatta","Omnivore","macaca_mulatta","Macaca mulatta",1101.07,8580,6455.19,1232.4,7770,5413.4,1231,14600,8235,1231,8235,14600,0.0843150684931507,NA,NA,NA
"8",8,8,"macFas5","vs_HLmacFas6","Crab-eating macaque","macaca_fascicularis","Omnivore","macaca_fascicularis","Macaca fascicularis",1319.5,7200,4569.32,1306.8,13350,3456.29,1238,14235,6362.5,1238,6362.5,14235,0.0869687390235335,14235,0.699200721,0.47060615
"9",9,9,"macNem1","vs_macNem1","Southern Pig-tailed Macaca","macaca_nemestrina","Omnivore","macaca_nemestrina","Macaca nemestrina",1427.17,NA,7820.78,1309.2,9480,6133.1,1125,13724,7912.5,1125,7912.5,13724,0.0819731856601574,NA,NA,NA
"10",10,10,"papAnu3","vs_HLpapAnu5","Olive Baboon","papio_anubis","Generalist","papio_anubis","Papio anubis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
