"","newAnalysisData.Rho","oldData.Rho","newAnalysisData.p.adj","oldData.p.adj","newAnalysisData.permPValue","oldData.permp.2sided","RhoChange","RhoChangePercent","pChange","pChangePercent"
"ARF5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6PR",0.275662581017343,0.288681968139779,0.104715462747634,0.0788932552777558,0.0330679230364593,0.0837431051438833,-0.0130193871224359,-0.0472294319903246,-0.050675182107424,-1.53245736212557
"FKBP4",-0.0899526885320534,-0.115544086177678,0.584220705031721,0.423564963197846,0.725745448148474,0.317181357606845,-0.0255913976456246,0.284498418704912,0.408564090541629,0.562957840912347
"CYP26B1",-0.0246128603488943,-0.0251868490730297,0.933591555916375,0.924904214561706,0.922749792235399,0.924237251973544,-0.000573988724135381,0.0233206834150492,-0.0014874597381449,-0.00161198599085183
"NDUFAF7",0.170854190830918,0.174488280366522,0.199105777876809,0.174654196416861,0.599273796266586,0.0749900446419215,-0.00363408953560371,-0.0212701223068043,0.524283751624665,0.874865136588481
"FUCA2",-0.0970756200725036,-0.114169168171689,0.530728880138615,0.413178334531379,0.766666990211161,0.664863618256914,-0.0170935480991854,0.176084871633255,0.101803371954247,0.132786950858818
"DBNDD1",-0.0611633809009589,-0.103841128897095,0.772501652349055,0.562119043751787,0.86354254441211,0.828931029402479,-0.0426777479961361,0.697766332852718,0.0346115150096307,0.0400808451576567
"HS3ST1",-0.00129458868530247,-0.0329647835535517,0.995865311333737,0.87121584565103,0.994212352085608,0.725693932176955,-0.0316701948682492,24.4635189754109,0.268518419908653,0.270081556867976
"SEMA3F",-0.0295379236624155,-0.0344172938023374,0.890229217822419,0.861440336580331,0.832106264777686,0.941180192340138,-0.00487937013992187,0.16519001794735,-0.109073927562452,-0.131081728595798
"CFTR",0.31812105657994,0.336396583384334,0.00256092547655452,0.00106946864471363,0.00814535601413341,0.0200563427658411,-0.018275526804394,-0.0574483405810063,-0.0119109867517077,-1.46230400869408
"CYP51A1",-0.0982677292562178,-0.0958810495844407,0.583661832270909,0.571567573089613,0.92143088024296,0.916371979456092,0.00238667967177705,-0.0242875223620377,0.00505890078686844,0.00549026616682797
"USP28",0.0553795289529306,0.0360605419555056,0.747991610854607,0.835015318549546,0.668224288087133,0.817755050716741,0.019318986997425,0.348847080549295,-0.149530762629608,-0.223773312786425
"SLC7A2",-0.106426210221543,-0.130954695475283,0.504003266494139,0.357467731331369,0.120285095643004,0.256510334697304,-0.0245284852537399,0.230474102222375,-0.1362252390543,-1.13251968854566
"HSPB6",-0.0434445437176389,-0.0526632656323264,0.889175275295318,0.853225085437058,0.929687962807948,0.86130916587922,-0.00921872191468748,0.212195160216278,0.0683787969287284,0.0735502659647255
"PDK4",-0.157361516564115,-0.161298751630843,0.294790430369589,0.263018641980074,0.0903990274790601,0.096774873080407,-0.00393723506672761,0.0250203172458841,-0.00637584560134692,-0.0705300242618629
"USH1C",0.0601279499165504,0.0598201989752493,0.721705627131023,0.706357423235351,0.562626888252287,0.324641022953569,0.000307750941301123,0.00511826765636015,0.237985865298718,0.422990564915914
"RALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAIAP2L1",-0.142273143848663,-0.155054860133005,0.354199184578039,0.283808199683059,0.794740895680683,0.404145622895623,-0.012781716284342,0.0898392763284824,0.39059527278506,0.491474988776715
"CACNG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEM132A",0.0388269065897581,0.0144823797762332,0.832229896932245,0.939440647967953,0.754717816369262,0.936082257895289,0.0243445268135249,0.627001452130791,-0.181364441526027,-0.240307619076121
"DVL2",0.123199238802981,0.0630169151882894,0.517143443906147,0.758704616924424,0.0710853752494889,0.756021590254518,0.0601823236146916,0.488495904677906,-0.684936215005029,-9.63540267742983
"RPAP3",-0.0400054792838455,-0.0282341497017521,0.830921760225133,0.876673863705367,0.276387846239726,0.696309358861318,0.0117713295820934,-0.294242933538525,-0.419921512621592,-1.51931974699557
"HOXA11",0,-0.0733752189074268,1,0.782944838039339,0.999749812359269,0.729031431499829,-0.0733752189074268,-Inf,0.27071838085944,0.270786128201998
"TRAPPC6A",-0.0198155361489256,-0.039198895164246,0.934713031229103,0.850853041419639,0.85044710763998,0.592077831827658,-0.0193833590153204,0.978189985355072,0.258369275812322,0.30380405023577
"SPATA20",0.161091968910295,0.220063129462469,0.21107079538363,0.055013737957334,0.0789445440202634,0.0491537554732233,-0.0589711605521743,-0.366071387363903,0.0297907885470401,0.377363488721822
"CD79B",-0.0412611846971955,-0.0727730381850637,0.82441644117266,0.644132976941803,0.248857061042321,0.212913095412729,-0.0315118534878682,0.763716643599184,0.0359439656295918,0.144436189509926
"RHBDD2",-0.0106089973009395,0.00793649244359821,0.962708302681882,0.9735158903637,0.911938998549618,0.958105032453848,0.00267250485734127,-0.251909278655826,-0.0461660339042296,-0.0506240373288715
"RPUSD1",-0.11168742558859,-0.137121208559839,0.50400565660674,0.361455633588255,0.547845590601867,0.380974419387412,-0.0254337829712492,0.227722886772739,0.166871171214455,0.304595262017404
"TSR3",0.156175353500786,0.166563850428331,0.299573281892895,0.241810194315137,0.774032530079571,0.687307870467848,-0.0103884969275454,-0.0665181585613836,0.0867246596117228,0.112042654851738
"NDUFAB1",-0.0702789363154926,-0.0405202733003347,0.74191855542893,0.850598463247507,0.333700995386531,0.468757263909727,0.0297586630151579,-0.423436445901327,-0.135056268523196,-0.404722402361306
"YBX2",0.389700466998861,0.347248680204535,0.00425053177700819,0.0114652657501682,0.0144908288456088,0.0129116372965471,0.0424517867943256,0.108934400621208,0.00157919154906168,0.108978690307299
"ITGA3",0.200796063815609,0.173573229007399,0.0997882971612532,0.158861174304514,0.0194769643492623,0.0461290187366391,0.0272228348082104,0.135574544096686,-0.0266520543873768,-1.36838851832608
"KRT33A",-0.210678379690434,-0.202961562078296,0.181819232397958,0.180954227381695,0.021428087798993,0.0222997990056067,0.00771681761213844,-0.0366284268156863,-0.000871711206613706,-0.0406807744485101
"LRRC23",0.272083429136389,0.269061707598278,0.0275725026791134,0.0268929421305004,0.134709681702644,0.101931832687971,0.00302172153811087,0.011105863917189,0.0327778490146732,0.243322147305095
"TFAP2D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRY1",0.0333133398304488,0.00437586756756157,0.89281121657477,0.987146821782246,0.854514714252235,0.988911375326756,0.0289374722628872,0.868645185687387,-0.134396661074521,-0.157278346215639
"PGLYRP1",-0.281748994356416,-0.251441624498259,0.0530919215086019,0.0819136891407373,0.0159232986352926,0.0235042735042735,0.0303073698581574,-0.107568688674069,-0.00758097486898093,-0.476093241897654
"STARD3NL",-0.0194230605007569,-0.0541957576230536,0.947501680836277,0.826230257998532,0.946606519051567,0.788831673138612,-0.0347726971222967,1.79027898929428,0.157774845912955,0.166674159471281
"CD74",0.252088762938391,0.24315490635585,0.0425091568892047,0.0444151135628097,0.140555972952667,0.0904886048271802,0.00893385658254089,0.0354393289030669,0.050067368125487,0.35620946640487
"RPS20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGST1",-0.291451211693065,-0.248667635271761,0.0398381698664778,0.080319539227752,0.0414706709389396,0.0951420830445467,0.0427835764213039,-0.14679498559217,-0.0536714121056071,-1.29420168254889
"CPA1",0.0108666310655718,0.00788445245191302,0.95950358960272,0.971541308097019,0.810576720435866,0.963261029026511,0.00298217861365876,0.274434513849196,-0.152684308590645,-0.188365030405195
