"","onlyClusterGenes"
"1","AARS"
"2","AC003005"
"3","AC003688"
"4","AC004076"
"5","AC004080"
"6","AC004556"
"7","AC004593"
"8","AC004687"
"9","AC004754"
"10","AC004922"
"11","AC005020"
"12","AC005154"
"13","AC005258"
"14","AC005324"
"15","AC005520"
"16","AC005670"
"17","AC005697"
"18","AC005833"
"19","AC006059"
"20","AC006064"
"21","AC006254"
"22","AC007040"
"23","AC007240"
"24","AC007325"
"25","AC007325"
"26","AC007375"
"27","AC007906"
"28","AC007998"
"29","AC008012"
"30","AC008073"
"31","AC008687"
"32","AC008695"
"33","AC008750"
"34","AC008758"
"35","AC008758"
"36","AC008763"
"37","AC008764"
"38","AC008770"
"39","AC008770"
"40","AC009133"
"41","AC009336"
"42","AC009477"
"43","AC009690"
"44","AC009879"
"45","AC010132"
"46","AC010197"
"47","AC010255"
"48","AC010325"
"49","AC010326"
"50","AC010522"
"51","AC010547"
"52","AC010616"
"53","AC010616"
"54","AC011195"
"55","AC011448"
"56","AC011462"
"57","AC011473"
"58","AC011498"
"59","AC011511"
"60","AC011604"
"61","AC012184"
"62","AC012213"
"63","AC012254"
"64","AC013470"
"65","AC013717"
"66","AC015813"
"67","AC017083"
"68","AC018362"
"69","AC018523"
"70","AC018755"
"71","AC020915"
"72","AC020915"
"73","AC021072"
"74","AC021097"
"75","AC021097"
"76","AC022167"
"77","AC022400"
"78","AC022506"
"79","AC022826"
"80","AC023509"
"81","AC024592"
"82","AC025283"
"83","AC025283"
"84","AC026316"
"85","AC026398"
"86","AC026786"
"87","AC027644"
"88","AC036214"
"89","AC037459"
"90","AC048338"
"91","AC055811"
"92","AC058822"
"93","AC067968"
"94","AC068580"
"95","AC068831"
"96","AC068946"
"97","AC069257"
"98","AC072022"
"99","AC073082"
"100","AC073111"
"101","AC079447"
"102","AC079594"
"103","AC087498"
"104","AC087632"
"105","AC087721"
"106","AC090360"
"107","AC090517"
"108","AC091167"
"109","AC091167"
"110","AC091551"
"111","AC092042"
"112","AC092442"
"113","AC092587"
"114","AC092647"
"115","AC092718"
"116","AC092835"
"117","AC093155"
"118","AC093227"
"119","AC093323"
"120","AC093423"
"121","AC093512"
"122","AC093525"
"123","AC093899"
"124","AC096745"
"125","AC097104"
"126","AC097625"
"127","AC097634"
"128","AC098484"
"129","AC098588"
"130","AC098650"
"131","AC099811"
"132","AC104389"
"133","AC104452"
"134","AC104472"
"135","AC104532"
"136","AC104662"
"137","AC107871"
"138","AC109583"
"139","AC112229"
"140","AC113348"
"141","AC113348"
"142","AC114490"
"143","AC114490"
"144","AC116366"
"145","AC118549"
"146","AC118553"
"147","AC119396"
"148","AC119676"
"149","AC124312"
"150","AC126283"
"151","AC131097"
"152","AC131160"
"153","AC134669"
"154","AC135068"
"155","AC135068"
"156","AC135178"
"157","AC136352"
"158","AC138647"
"159","AC138894"
"160","AC139530"
"161","AC142391"
"162","AC171558"
"163","AC171558"
"164","AC213203"
"165","AC233723"
"166","AC235565"
"167","AC243756"
"168","AC244197"
"169","AC244517"
"170","AC245033"
"171","AC253536"
"172","ACPP"
"173","ACSM3"
"174","AD000671"
"175","ADAM9"
"176","ADAR"
"177","ADSS"
"178","ADSSL1"
"179","AES"
"180","AF241726"
"181","AK8"
"182","AKAP2"
"183","AL021997"
"184","AL022238"
"185","AL022312"
"186","AL022318"
"187","AL024498"
"188","AL031315"
"189","AL031777"
"190","AL031847"
"191","AL034430"
"192","AL034430"
"193","AL035078"
"194","AL035460"
"195","AL049557"
"196","AL049629"
"197","AL049634"
"198","AL049650"
"199","AL049844"
"200","AL096711"
"201","AL096814"
"202","AL096870"
"203","AL110118"
"204","AL117348"
"205","AL121722"
"206","AL121758"
"207","AL133352"
"208","AL133353"
"209","AL133410"
"210","AL133500"
"211","AL135905"
"212","AL136295"
"213","AL136373"
"214","AL138752"
"215","AL139300"
"216","AL139353"
"217","AL157935"
"218","AL160272"
"219","AL162231"
"220","AL162377"
"221","AL162596"
"222","AL163636"
"223","AL353572"
"224","AL355102"
"225","AL355312"
"226","AL355315"
"227","AL357673"
"228","AL358075"
"229","AL358113"
"230","AL359922"
"231","AL365205"
"232","AL365232"
"233","AL391650"
"234","AL451007"
"235","AL451062"
"236","AL590132"
"237","AL590764"
"238","AL591806"
"239","AL592490"
"240","AL645922"
"241","AL662820"
"242","AL662899"
"243","AL662899"
"244","AL672043"
"245","AL691442"
"246","AL845331"
"247","ALS2CR12"
"248","AMT"
"249","ANXA4"
"250","AP000721"
"251","AP000812"
"252","AP000812"
"253","AP000944"
"254","AP001267"
"255","AP001273"
"256","AP001458"
"257","AP001781"
"258","AP002495"
"259","AP002512"
"260","AP002748"
"261","AP002884"
"262","AP002990"
"263","AP003071"
"264","AP003108"
"265","AP003419"
"266","APOPT1"
"267","ARG1"
"268","ARHGAP19-SLIT1"
"269","ARL2-SNX15"
"270","ARSE"
"271","ASNA1"
"272","ATP5S"
