"","missingGenes"
"1","A1BG"
"2","A1CF"
"3","AAK1"
"4","AARS1"
"5","ABCA7"
"6","ABCF2-H2BE1"
"7","ABCF2"
"8","ABHD8"
"9","ABITRAM"
"10","ABO"
"11","ACAN"
"12","ACP3"
"13","ADAD2"
"14","ADAM20"
"15","ADAM29"
"16","ADAM30"
"17","ADAMTS20"
"18","ADAMTS7"
"19","ADAMTSL2"
"20","ADGRG4"
"21","ADM5"
"22","ADNP2"
"23","ADPRS"
"24","ADRA1B"
"25","ADRA1D"
"26","ADRA2B"
"27","ADRA2C"
"28","ADRB1"
"29","ADRB2"
"30","ADSS1"
"31","ADSS2"
"32","AEBP1"
"33","AFF1"
"34","AFF3"
"35","AFG3L2"
"36","AFTPH"
"37","AGAP4"
"38","AGAP5"
"39","AGAP6"
"40","AGAP9"
"41","AGBL1"
"42","AGT"
"43","AGTR2"
"44","AHCTF1"
"45","AHNAK"
"46","AHNAK2"
"47","AIRE"
"48","AKAP1"
"49","AKAP11"
"50","AKAP12"
"51","AKAP13"
"52","AKAP3"
"53","AKR7L"
"54","ALG1L"
"55","ALG1L2"
"56","ALMS1"
"57","ALPK2"
"58","ALPK3"
"59","ALPP"
"60","ALX4"
"61","AMER1"
"62","AMER2"
"63","AMH"
"64","AMIGO2"
"65","AMOT"
"66","AMOTL1"
"67","ANGPTL7"
"68","ANKHD1-EIF4EBP3"
"69","ANKLE2"
"70","ANKRD18A"
"71","ANKRD18B"
"72","ANKRD20A1"
"73","ANKRD20A2P"
"74","ANKRD20A3P"
"75","ANKRD20A4P"
"76","ANKRD24"
"77","ANKRD26"
"78","ANKRD30A"
"79","ANKRD30B"
"80","ANKRD31"
"81","ANKRD33B"
"82","ANKRD36"
"83","ANKRD36B"
"84","ANKRD37"
"85","ANKRD40"
"86","ANKRD60"
"87","ANKRD62"
"88","ANKRD63"
"89","ANKRD65"
"90","ANKS6"
"91","ANO7"
"92","ANO8"
"93","ANP32D"
"94","ANTKMT"
"95","ANTXRL"
"96","AOPEP"
"97","APC2"
"98","APCS"
"99","APOA4"
"100","APOBEC3A"
"101","APOBEC3G"
"102","APOBR"
"103","APOL1"
"104","APOL2"
"105","APOL3"
"106","APOL5"
"107","APOL6"
"108","ARAP2"
"109","ARGFX"
"110","ARHGAP11B"
"111","ARHGAP12"
"112","ARHGAP31"
"113","ARHGAP40"
"114","ARHGAP9"
"115","ARHGEF19"
"116","ARHGEF35"
"117","ARID3A"
"118","ARMCX5-GPRASP2"
"119","ARMH4"
"120","ARPIN-AP3S2"
"121","ARRDC1"
"122","ARSL"
"123","ART4"
"124","ASCL1"
"125","ASDURF"
"126","ASMTL"
"127","ASPN"
"128","ATAD3B"
"129","ATAD5"
"130","ATF6"
"131","ATF7-NPFF"
"132","ATN1"
"133","ATOH8"
"134","ATP5ME"
"135","ATP5PO"
"136","ATP8B3"
"137","ATPSCKMT"
"138","ATRN"
"139","ATXN3L"
"140","AXIN1"
"141","B4GALNT4"
"142","BAHCC1"
"143","BAIAP2L2"
"144","BARHL2"
"145","BAZ2A"
"146","BBS10"
"147","BCL2L10"
"148","BCL6B"
"149","BCL9L"
"150","BCR"
"151","BDP1"
"152","BHLHA15"
"153","BHLHE22"
"154","BHLHE41"
"155","BHMG1"
"156","BICRA"
"157","BIK"
"158","BIVM-ERCC5"
"159","BLM"
"160","BLOC1S3"
"161","BMERB1"
"162","BMP15"
"163","BNIP5"
"164","BOD1L1"
"165","BOD1L2"
"166","BORCS7"
"167","BPNT2"
"168","BPTF"
"169","BPY2"
"170","BPY2B"
"171","BPY2C"
"172","BRCA2"
"173","BSN"
"174","BST2"
"175","BTN2A2"
"176","BTNL3"
"177","BTNL9"
"178","C10ORF95"
"179","C11ORF71"
"180","C12ORF60"
"181","C12ORF71"
"182","C15ORF39"
"183","C16ORF46"
"184","C16ORF71"
"185","C16ORF82"
"186","C16ORF90"
"187","C16ORF96"
"188","C17ORF100"
"189","C17ORF97"
"190","C19ORF18"
"191","C19ORF73"
"192","C19ORF85"
"193","C1ORF116"
"194","C1ORF131"
"195","C1ORF167"
"196","C1ORF68"
"197","C1QTNF12"
"198","C20ORF144"
"199","C20ORF203"
"200","C22ORF42"
"201","C2CD4A"
"202","C2ORF16"
"203","C2ORF78"
"204","C3AR1"
"205","C3ORF38"
"206","C3ORF56"
"207","C4ORF3"
"208","C4ORF50"
"209","C4ORF54"
"210","C5ORF52"
"211","C6ORF118"
"212","C6ORF132"
"213","C6ORF141"
"214","C6ORF15"
"215","C6ORF226"
"216","C6ORF47"
"217","C8ORF44-SGK3"
"218","C8ORF48"
"219","C9ORF131"
"220","C9ORF43"
"221","C9ORF50"
"222","C9ORF57"
"223","CA9"
"224","CABYR"
"225","CACNA1F"
"226","CACNA1I"
"227","CACNG4"
"228","CACNG8"
"229","CACTIN"
"230","CALHM1"
"231","CAMSAP3"
"232","CAPN15"
"233","CARD8"
"234","CARS1"
"235","CARS2"
"236","CASKIN1"
"237","CASP8AP2"
"238","CASQ2"
"239","CASZ1"
"240","CATSPER1"
"241","CATSPER2"
"242","CATSPERB"
"243","CATSPERD"
"244","CBARP"
"245","CBLIF"
"246","CBX8"
"247","CBY2"
"248","CCDC116"
"249","CCDC144A"
"250","CCDC15"
"251","CCDC163"
"252","CCDC168"
"253","CCDC177"
"254","CCDC180"
"255","CCDC187"
"256","CCDC192"
"257","CCDC200"
"258","CCDC201"
"259","CCDC27"
"260","CCDC34"
"261","CCDC40"
"262","CCDC57"
"263","CCDC62"
"264","CCDC71"
"265","CCDC74A"
"266","CCDC78"
"267","CCDC8"
"268","CCDC82"
"269","CCDC85A"
"270","CCDC87"
"271","CCDC96"
"272","CCER1"
"273","CCL15"
"274","CCL17"
"275","CCL3L3"
"276","CCM2L"
"277","CCN1"
"278","CCN2"
"279","CCN3"
"280","CCN4"
"281","CCN5"
"282","CCN6"
"283","CCNB3"
"284","CCNI2"
"285","CCNP"
"286","CD19"
"287","CD244"
"288","CD3E"
"289","CD55"
"290","CD93"
"291","CDC14C"
"292","CDC42EP1"
"293","CDH15"
"294","CDH22"
"295","CDHR5"
"296","CDIN1"
"297","CDR1"
"298","CDRT15"
"299","CDRT15L2"
"300","CDSN"
"301","CDT1"
"302","CDY1"
"303","CDY1B"
"304","CDY2A"
"305","CDY2B"
"306","CEACAM21"
"307","CEACAM5"
"308","CEBPA"
"309","CEL"
"310","CELA1"
"311","CELSR1"
"312","CELSR2"
"313","CENATAC"
"314","CENPB"
"315","CENPBD1"
"316","CENPU"
"317","CEP126"
"318","CEP164"
"319","CEP20"
"320","CEP295"
"321","CEP295NL"
"322","CEP43"
"323","CERS3"
"324","CERT1"
"325","CFAP157"
"326","CFAP20DC"
"327","CFAP251"
"328","CFAP298-TCP10L"
"329","CFAP47"
"330","CFAP54"
"331","CFAP74"
"332","CFAP91"
"333","CFAP92"
"334","CFAP94"
"335","CFAP97"
"336","CFC1"
"337","CFC1B"
"338","CFHR1"
"339","CGB1"
"340","CGB2"
"341","CHADL"
"342","CHAF1A"
"343","CHGB"
"344","CHST5"
"345","CIBAR1"
"346","CIBAR2"
"347","CILK1"
"348","CIR1"
"349","CLASP1"
"350","CLC"
"351","CLCA4"
"352","CLDN23"
"353","CLEC4C"
"354","CLIC6"
"355","CLSPN"
"356","CMTM2"
"357","CMYA5"
"358","CNGB3"
"359","CNPY4"
"360","COA8"
"361","COL18A1"
"362","COL20A1"
"363","COL27A1"
"364","COL4A6"
"365","COL6A6"
"366","COL7A1"
"367","CPAMD8"
"368","CPHXL"
"369","CPLANE1"
"370","CPXCR1"
"371","CPXM1"
"372","CRACD"
"373","CRACDL"
"374","CRCT1"
"375","CRNN"
"376","CROCC2"
"377","CRPPA"
"378","CRYBG1"
"379","CRYBG3"
"380","CSAG2"
"381","CSAG3"
"382","CSNK2A3"
"383","CSNKA2IP"
"384","CSTF2T"
"385","CSTL1"
"386","CT45A1"
"387","CT45A10"
"388","CT45A2"
"389","CT45A3"
"390","CT45A5"
"391","CT45A6"
"392","CT45A7"
"393","CT45A8"
"394","CT45A9"
"395","CT47A1"
"396","CT47A10"
"397","CT47A11"
"398","CT47A12"
"399","CT47A2"
"400","CT47A3"
"401","CT47A4"
"402","CT47A5"
"403","CT47A6"
"404","CT47A7"
"405","CT47A8"
"406","CT47A9"
"407","CT47B1"
"408","CT83"
"409","CTAGE1"
"410","CTAGE15"
"411","CTAGE4"
"412","CTAGE6"
"413","CTAGE8"
"414","CTAGE9"
