"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","BinPercent","CatPercent","ContPercent","BinaryRankPercent","CatRankPercent","ContRankPercent"
"ARF5",1,NA,0.91905040123052,NA,14987,14966,NA,NA,0.92371312183681,NA,0.924609784687519,0.923314208155963,NA
"M6PR",2,0.0332889958205374,0.00157538992534874,0.07489,948,95,1164,0.0632590417723208,0.00586347364522898,0.0836687751581369,0.0584860262816954,0.0058609414522796,0.0836687751581369
"FKBP4",3,0.726858737836236,0.624053683578666,0.59657,9378,10995,8334,0.625784065127452,0.678619923466239,0.599051178838413,0.578567462520822,0.678326855450676,0.599051178838413
"CYP26B1",4,0.923104595293828,0.235265644997211,0.84278,13205,5335,11730,0.881155745362338,0.329280335761017,0.843156986774008,0.814670861866864,0.329138133135912,0.843156986774008
"NDUFAF7",5,0.59968513289937,0.0530915756453381,0.57797,8034,1667,8079,0.536100360336314,0.102888532279965,0.580721679125934,0.495650564501203,0.102844098957369,0.580721679125934
"FUCA2",6,0.766864263980313,0.193935462947949,0.84941,9937,4613,11825,0.663085546510076,0.284717936057277,0.849985623921794,0.613054475908446,0.284594978098587,0.849985623921794
"DBNDD1",7,0.863545209732112,0.999227418273885,0.92443,11789,16189,12893,0.78666755638596,0.999197629922232,0.926753881541116,0.727311987167623,0.998766117588994,0.926753881541116
"HS3ST1",8,0.994137658402924,0.804548387867779,0.32779,14803,13374,4643,0.987788602695849,0.825453647697815,0.333740655549166,0.913258066506262,0.825097168239867,0.333740655549166
"SEMA3F",9,0.832401081252371,0.856337931474135,0.77919,11101,14129,10839,0.740758040838116,0.872052832983582,0.779111558366878,0.684866432229009,0.871676229255352,0.779111558366878
"CFTR",10,0.00801705274277522,0.010732628844678,0.67686,103,453,9450,0.00687308154277325,0.0279595111714603,0.679269695227142,0.00635449441668209,0.0279474366092911,0.679269695227142
"CYP51A1",11,0.920987103727654,0.260603749948939,0.84994,13153,5754,11830,0.877685840117443,0.355141340575238,0.850345025876941,0.811462767598248,0.354987969646493,0.850345025876941
"USP28",12,0.668841692856237,0.383231723896244,0.19961,8685,7644,2889,0.579540904844522,0.471793605727688,0.207662449683726,0.535813436979456,0.471589857486582,0.207662449683726
"SLC7A2",13,0.120161816451161,0.923268179804047,0.04506,3299,15026,740,0.220138796209796,0.927416368349587,0.0531914893617021,0.203528903695478,0.927015855388981,0.0531914893617021
"HSPB6",14,0.929523794821127,0.479260692026649,0.93057,13374,9040,12966,0.892432937408248,0.557955807924948,0.932001150086257,0.825097168239867,0.557714849774816,0.932001150086257
"PDK4",15,0.0901118854976101,0.121610101538695,0.66551,2633,3217,9292,0.17569731749633,0.198555733860017,0.667912593444508,0.16244061940897,0.198469985810352,0.667912593444508
"USH1C",16,0.561363300014799,0.28136687259329,0.69695,7729,6077,9739,0.515748031496063,0.375077150969016,0.700043128234618,0.476833857733358,0.374915170584243,0.700043128234618
"RALA",17,NA,0.139132996219746,NA,14988,3583,NA,NA,0.221145537587952,NA,0.92467147880807,0.221050033931766,NA
"BAIAP2L1",18,0.795336340970152,0.935429388073275,0.31802,10404,15194,4497,0.694247964767116,0.93778545858536,0.323246118458884,0.641865630205441,0.937380467641434,0.323246118458884
"CACNG3",19,NA,0.854816132613448,NA,14989,14103,NA,NA,0.870448092828046,NA,0.92473317292862,0.870072182121044,NA
"TMEM132A",20,0.755038931162626,0.908759102533058,0.77198,9771,14827,10729,0.652008541305218,0.915133934082212,0.771204715353652,0.602813251897094,0.914738725399469,0.771204715353652
"DVL2",21,0.0719518259329784,0.359332339442837,0.15887,2153,7265,2321,0.143667422928066,0.448401431921985,0.166834387579068,0.132827441544821,0.448207785798013,0.166834387579068
"RPAP3",22,0.276281431683425,0.953325824652544,0.17443,5436,15475,2529,0.362738555985587,0.955128996420195,0.181785508913168,0.335369239311494,0.954716515516071,0.181785508913168
"HOXA11",23,0.999492127983748,0.235662909286098,0.19014,14928,5342,2753,0.996129721073001,0.329712381187508,0.197886716503738,0.920969831575051,0.329569991979764,0.197886716503738
"TRAPPC6A",24,0.850661958812929,0.0430538653686031,0.6925,11489,1379,9672,0.766648872280795,0.0851129490186397,0.695227142035653,0.708803751002529,0.0850761922388796,0.695227142035653
"SPATA20",25,0.0785799598158477,0.926249819089262,0.36937,2328,15066,5233,0.155344988656079,0.929885199358104,0.376150086256469,0.143623912641125,0.929483620210994,0.376150086256469
"CD79B",26,0.248751827570989,0.528931314541913,0.87746,5192,9759,12213,0.346456692913386,0.602333045303049,0.877875215641173,0.320315873897218,0.60207292245049,0.877875215641173
"RHBDD2",27,0.912254064889747,0.246900482609419,0.15392,12942,5536,2251,0.86360603229681,0.341686211578817,0.161802760207016,0.798445308162132,0.341538651366525,0.161802760207016
"RPUSD1",28,0.548195037609965,0.964449536345116,0.59372,7613,15648,8293,0.508007473642066,0.965806690532033,0.59610408280621,0.469677339749522,0.965389598371275,0.59610408280621
"TSR3",29,0.774212073253448,0.0802928140819627,0.71505,10061,2265,9981,0.671359935940211,0.139797555857302,0.717438182863715,0.620704546856685,0.139737183046456,0.717438182863715
"NDUFAB1",30,0.333479575800947,0.853177092668937,0.99195,5961,14093,13805,0.397771253169625,0.869830885075917,0.992308798159862,0.367758652600407,0.869455240915541,0.992308798159862
"YBX2",31,0.0146651748179384,0.00775953673423999,0.2463,316,336,3522,0.0210863472574403,0.0207381804715467,0.25316273720529,0.0194953420938985,0.0207292245049047,0.25316273720529
"ITGA3",32,0.0193716967107333,0.0305022010327337,0.09811,469,1029,1506,0.0312958761510743,0.0635106776941118,0.108251868890167,0.0289345425380961,0.0634832500462706,0.108251868890167
"KRT33A",33,0.0214573666294591,0.424837800882804,0.18011,537,8238,2604,0.035833444548245,0.508455746204172,0.187176538240368,0.0331297427355173,0.508236165093467,0.187176538240368
"LRRC23",34,0.134718339887241,0.00266663404728994,0.59393,3590,157,8295,0.239556919791806,0.00969016170843106,0.596247843588269,0.221481892775618,0.00968597692639891,0.596247843588269
"TFAP2D",35,NA,0.891190301448803,NA,14990,14587,NA,NA,0.900320948031107,NA,0.92479486704917,0.899932136467395,NA
"CRY1",36,0.854922680789737,0.355419337335097,0.73346,11593,7210,10229,0.773588682770586,0.445006789285273,0.735336400230017,0.715219939539762,0.444814609167746,0.735264519838988
"PGLYRP1",37,0.016220520271546,0.561753712410784,0.18962,366,10187,2745,0.0244227946083011,0.628749537094186,0.197311673375503,0.022580048121414,0.628478006046024,0.197311673375503
"STARD3NL",38,0.94620658855148,0.80418595290803,0.96888,13736,13367,13483,0.91658881622848,0.825021602271324,0.969163312248419,0.84743043987908,0.824665309396015,0.969163312248419
"CD74",39,0.140661818383433,0.000550888307395676,0.6417,3692,43,8942,0.246363272387562,0.00265399333415628,0.642754456584244,0.22777469307175,0.0026528471836634,0.642754456584244
"RPS20",40,NA,0.0457242937676412,NA,14991,1465,NA,NA,0.0904209356869522,NA,0.92485656116972,0.0903818866062064,NA
"MGST1",41,0.0414204601913882,0.00214720829266651,0.22179,1224,121,3178,0.0816762311490725,0.00746821380076534,0.228435882691202,0.0755136035535813,0.0074649885865877,0.228435882691202
"CPA1",42,0.810191452330304,0.937677579707828,0.03275,10680,15229,558,0.712665154143868,0.939945685717813,0.0401811385853939,0.658893207477327,0.939539761860695,0.0401092581943646
"SYPL1",43,0.619430895986828,0.0616087054461021,0.50504,8211,1862,7074,0.547911383958361,0.114924083446488,0.508481886141461,0.506570423838608,0.11487445246468,0.508481886141461
"RANBP9",44,0.98087760961259,0.261273963090002,0.91895,14546,5762,12817,0.970639263312425,0.355635106776941,0.921290971822887,0.897402677524832,0.355481522610895,0.921290971822887
"CD4",45,0.9164577006725,0.513289916857055,0.72191,13029,9531,10067,0.869411450687308,0.588260708554499,0.723619896492237,0.803812696650009,0.588006662965019,0.723619896492237
"PLEKHG6",46,0.152625608800943,0.0299624828010563,0.19403,3904,1008,2815,0.260509809155212,0.0622145414146402,0.202415181138585,0.240853846628416,0.062187673514714,0.202343300747556
"QPCTL",47,0.77051294675525,0.511346809463136,0.54388,9998,9503,7595,0.667156012278126,0.586532526848537,0.54593156986774,0.616817817262015,0.586279227589611,0.54593156986774
"PPP5C",48,0.728016330143791,0.773246878318745,0.66345,9391,12932,9264,0.626651541438676,0.798173065053697,0.665971822886717,0.579369486087976,0.797828366956629,0.665899942495687
"UBR7",49,0.00448618061319804,0.0104905154244108,0.2642,31,443,3766,0.0020685973575337,0.0273423034193309,0.270701552616446,0.00191251773705966,0.027330495403788,0.270701552616446
"MAP4K5",50,0.120496935283721,0.827584070705089,0.12617,3307,13730,1874,0.220672627785934,0.847426243673621,0.134703852788959,0.20402245665988,0.847060275155778,0.134703852788959
"ERCC1",51,0.950838989441931,0.607782754759238,NA,13853,10786,NA,0.924396103029494,0.665720281446735,NA,0.854648651983466,0.66543278425566,NA
"GPRC5A",52,0.808295182071557,0.450391930295743,0.0047,10637,8609,142,0.709795809422127,0.531354153808172,0.0102070155261645,0.656240360293664,0.531124683817632,0.0102070155261645
"HEBP1",53,0.924715834133677,0.209284270977348,0.9381,13254,4879,13064,0.884425463766182,0.301135662263918,0.939045428407131,0.817693873773829,0.30100561416497,0.939045428407131
"COX15",54,0.926801841843266,0.571125873585326,0.61038,13302,10313,8512,0.887628453223008,0.636526354771016,0.611845888441633,0.820655191560244,0.636251465235363,0.611845888441633
