"","x"
"1",0.000546354765350912
"2",0.000948850148338294
"3",0.00127318821175402
"4",0.00121767307006352
"5",0.00122168702852123
"6",0.00138623743731306
"7",0.00129783859662022
"8",0.00193249309624575
"9",0.00180122183657935
"10",0.00225581183267593
"11",0.0020582238848345
"12",0.00217571305905472
"13",0.00223232497696587
"14",0.0023106281626194
"15",0.00256567494857144
"16",0.00291095477215249
"17",0.00297555422013054
"18",0.00260055282785236
"19",0.00296515922597633
"20",0.00349327325934882
"21",0.0032701324323158
"22",0.00363921532817026
"23",0.00386842472916324
"24",0.00432976907149411
"25",0.00450910297445101
"26",0.00414859445819621
"27",0.00450954715275574
"28",0.00456519698659322
"29",0.00493498537411002
"30",0.00482729549508805
"31",0.0054592295496955
"32",0.00574787296115147
"33",0.00581079217279582
"34",0.00592541215868087
"35",0.00618034968318464
"36",0.00609988897945195
"37",0.00584477907770991
"38",0.00568208593119404
"39",0.00574951247930157
"40",0.00608823600058359
"41",0.00640857028749061
"42",0.00679008323820848
"43",0.00712129209617378
"44",0.00680383966182861
"45",0.00617872887330516
"46",0.0063774541128183
"47",0.00708378396904485
"48",0.00654418352911776
"49",0.00768665928406049
"50",0.00791746068754988
"51",0.00727879475307281
"52",0.00745021045559847
"53",0.00829613995856152
"54",0.00792397546457691
