"","X","FaName","Zoonomia","Common.Name.or.Group","scientific","phenotype","Binomial","BinomialPretty"
"1",1,"hg38","REFERENCE","Human","homo_sapiens","Generalist","homo_sapiens","Homo sapiens"
"2",2,"panTro5","vs_panTro6","Chimp","pan_troglodytes","Omnivore","pan_troglodytes","Pan troglodytes"
"3",3,"panPan2","vs_panPan3","Bonobo","pan_paniscus","Omnivore","pan_paniscus","Pan paniscus"
"4",4,"gorGor5","vs_gorGor6","Gorilla","gorilla_gorilla_gorilla","Herbivore","gorilla_gorilla","Gorilla gorilla"
"5",5,"ponAbe2","vs_ponAbe3","Orangutan","pongo_abelii","Omnivore","pongo_abelii","Pongo abelii"
"6",6,"nomLeu3","vs_HLnomLeu4","Gibbon","nomascus_leucogenys","Herbivore","nomascus_leucogenys","Nomascus leucogenys"
"7",7,"rheMac8","vs_rheMac10","Rhesus Macaca","macaca_mulatta","Omnivore","macaca_mulatta","Macaca mulatta"
"8",8,"macFas5","vs_HLmacFas6","Crab-eating macaque","macaca_fascicularis","Omnivore","macaca_fascicularis","Macaca fascicularis"
"9",9,"macNem1","vs_macNem1","Southern Pig-tailed Macaca","macaca_nemestrina","Omnivore","macaca_nemestrina","Macaca nemestrina"
"10",10,"papAnu3","vs_HLpapAnu5","Olive Baboon","papio_anubis","Generalist","papio_anubis","Papio anubis"
"11",11,"manLeu1","vs_manLeu1","Drill","mandrillus_leucophaeus","Omnivore","mandrillus_leucophaeus","Mandrillus leucophaeus"
"12",12,"cerAty1","vs_cerAty1","Sooty Mangabey","cercocebus_atys","Omnivore","cercocebus_atys","Cercocebus atys"
"13",13,"chlSab2","vs_chlSab2","Green monkey","chlorocebus_sabaeus","Omnivore","chlorocebus_sabaeus","Chlorocebus sabaeus"
"14",14,"nasLar1","vs_nasLar1","Proboscis Monkey","nasalis_larvatus","Herbivore","nasalis_larvatus","Nasalis larvatus"
