"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","Bin%","Cat%","Cont%","BinRank%","CatRank%","ContRank%"
"ARF5",1,"NA","9.19e-01","NA","14987","14966","NA","NA","0.924","NA","0.925","0.923","NA"
"M6PR",2,"3.33e-02","1.58e-03","7.49e-02","948","95","1164","0.0633","0.00586","0.0837","0.0585","0.00586","0.0837"
"FKBP4",3,"7.27e-01","6.24e-01","5.97e-01","9378","10995","8334","0.626","0.679","0.599","0.579","0.678","0.599"
"CYP26B1",4,"9.23e-01","2.35e-01","8.43e-01","13205","5335","11730","0.881","0.329","0.843","0.815","0.329","0.843"
"NDUFAF7",5,"6e-01","5.31e-02","5.78e-01","8034","1667","8079","0.536","0.103","0.581","0.496","0.103","0.581"
"FUCA2",6,"7.67e-01","1.94e-01","8.49e-01","9937","4613","11825","0.663","0.285","0.85","0.613","0.285","0.85"
"DBNDD1",7,"8.64e-01","9.99e-01","9.24e-01","11789","16189","12893","0.787","0.999","0.927","0.727","0.999","0.927"
"HS3ST1",8,"9.94e-01","8.05e-01","3.28e-01","14803","13374","4643","0.988","0.825","0.334","0.913","0.825","0.334"
"SEMA3F",9,"8.32e-01","8.56e-01","7.79e-01","11101","14129","10839","0.741","0.872","0.779","0.685","0.872","0.779"
"CFTR",10,"8.02e-03","1.07e-02","6.77e-01","103","453","9450","0.00687","0.028","0.679","0.00635","0.0279","0.679"
"CYP51A1",11,"9.21e-01","2.61e-01","8.5e-01","13153","5754","11830","0.878","0.355","0.85","0.811","0.355","0.85"
"USP28",12,"6.69e-01","3.83e-01","2e-01","8685","7644","2889","0.58","0.472","0.208","0.536","0.472","0.208"
"SLC7A2",13,"1.2e-01","9.23e-01","4.51e-02","3299","15026","740","0.22","0.927","0.0532","0.204","0.927","0.0532"
"HSPB6",14,"9.3e-01","4.79e-01","9.31e-01","13374","9040","12966","0.892","0.558","0.932","0.825","0.558","0.932"
"PDK4",15,"9.01e-02","1.22e-01","6.66e-01","2633","3217","9292","0.176","0.199","0.668","0.162","0.198","0.668"
"USH1C",16,"5.61e-01","2.81e-01","6.97e-01","7729","6077","9739","0.516","0.375","0.7","0.477","0.375","0.7"
"RALA",17,"NA","1.39e-01","NA","14988","3583","NA","NA","0.221","NA","0.925","0.221","NA"
"BAIAP2L1",18,"7.95e-01","9.35e-01","3.18e-01","10404","15194","4497","0.694","0.938","0.323","0.642","0.937","0.323"
"CACNG3",19,"NA","8.55e-01","NA","14989","14103","NA","NA","0.87","NA","0.925","0.87","NA"
"TMEM132A",20,"7.55e-01","9.09e-01","7.72e-01","9771","14827","10729","0.652","0.915","0.771","0.603","0.915","0.771"
"DVL2",21,"7.2e-02","3.59e-01","1.59e-01","2153","7265","2321","0.144","0.448","0.167","0.133","0.448","0.167"
"RPAP3",22,"2.76e-01","9.53e-01","1.74e-01","5436","15475","2529","0.363","0.955","0.182","0.335","0.955","0.182"
"HOXA11",23,"9.99e-01","2.36e-01","1.9e-01","14928","5342","2753","0.996","0.33","0.198","0.921","0.33","0.198"
"TRAPPC6A",24,"8.51e-01","4.31e-02","6.92e-01","11489","1379","9672","0.767","0.0851","0.695","0.709","0.0851","0.695"
"SPATA20",25,"7.86e-02","9.26e-01","3.69e-01","2328","15066","5233","0.155","0.93","0.376","0.144","0.929","0.376"
"CD79B",26,"2.49e-01","5.29e-01","8.77e-01","5192","9759","12213","0.346","0.602","0.878","0.32","0.602","0.878"
"RHBDD2",27,"9.12e-01","2.47e-01","1.54e-01","12942","5536","2251","0.864","0.342","0.162","0.798","0.342","0.162"
"RPUSD1",28,"5.48e-01","9.64e-01","5.94e-01","7613","15648","8293","0.508","0.966","0.596","0.47","0.965","0.596"
"TSR3",29,"7.74e-01","8.03e-02","7.15e-01","10061","2265","9981","0.671","0.14","0.717","0.621","0.14","0.717"
"NDUFAB1",30,"3.33e-01","8.53e-01","9.92e-01","5961","14093","13805","0.398","0.87","0.992","0.368","0.869","0.992"
"YBX2",31,"1.47e-02","7.76e-03","2.46e-01","316","336","3522","0.0211","0.0207","0.253","0.0195","0.0207","0.253"
"ITGA3",32,"1.94e-02","3.05e-02","9.81e-02","469","1029","1506","0.0313","0.0635","0.108","0.0289","0.0635","0.108"
"KRT33A",33,"2.15e-02","4.25e-01","1.8e-01","537","8238","2604","0.0358","0.508","0.187","0.0331","0.508","0.187"
"LRRC23",34,"1.35e-01","2.67e-03","5.94e-01","3590","157","8295","0.24","0.00969","0.596","0.221","0.00969","0.596"
"TFAP2D",35,"NA","8.91e-01","NA","14990","14587","NA","NA","0.9","NA","0.925","0.9","NA"
"CRY1",36,"8.55e-01","3.55e-01","7.33e-01","11593","7210","10229","0.774","0.445","0.735","0.715","0.445","0.735"
"PGLYRP1",37,"1.62e-02","5.62e-01","1.9e-01","366","10187","2745","0.0244","0.629","0.197","0.0226","0.628","0.197"
"STARD3NL",38,"9.46e-01","8.04e-01","9.69e-01","13736","13367","13483","0.917","0.825","0.969","0.847","0.825","0.969"
"CD74",39,"1.41e-01","5.51e-04","6.42e-01","3692","43","8942","0.246","0.00265","0.643","0.228","0.00265","0.643"
"RPS20",40,"NA","4.57e-02","NA","14991","1465","NA","NA","0.0904","NA","0.925","0.0904","NA"
"MGST1",41,"4.14e-02","2.15e-03","2.22e-01","1224","121","3178","0.0817","0.00747","0.228","0.0755","0.00746","0.228"
"CPA1",42,"8.1e-01","9.38e-01","3.28e-02","10680","15229","558","0.713","0.94","0.0402","0.659","0.94","0.0401"
"SYPL1",43,"6.19e-01","6.16e-02","5.05e-01","8211","1862","7074","0.548","0.115","0.508","0.507","0.115","0.508"
"RANBP9",44,"9.81e-01","2.61e-01","9.19e-01","14546","5762","12817","0.971","0.356","0.921","0.897","0.355","0.921"
"CD4",45,"9.16e-01","5.13e-01","7.22e-01","13029","9531","10067","0.869","0.588","0.724","0.804","0.588","0.724"
